url;nama;ratings;reviewers;kategori;alamat;jam-opearsional
https://www.google.com/maps/place/Cafe+Taman+Dramaga/data=!4m7!3m6!1s0x2e69c5e943360ca1:0x835e09ace959dc4e!8m2!3d-6.5699584!4d106.7390865!16s%2Fg%2F11qfn6mv_q!19sChIJoQw2Q-nFaS4RTtxZ6awJXoM?authuser=0&hl=id&rclk=1;Cafe Taman Dramaga;4,0;(194);Restoran;Jl. Raya Dramaga No.Km 7, RT.03/RW.1RT01;⋅ Buka pukul 11.00
https://www.google.com/maps/place/Tepi+Danau+Cafe+and+Resto/data=!4m7!3m6!1s0x2e69c389e8f3f2b9:0x6f2fdd721f83f41!8m2!3d-6.545988!4d106.731647!16s%2Fg%2F11h2j7hffq!19sChIJufLz6InDaS4RQT_4Idf98gY?authuser=0&hl=id&rclk=1;Tepi Danau Cafe and Resto;4,2;(2.421);Kafe;;⋅ Buka pukul 11.00
https://www.google.com/maps/place/Kopicentrum/data=!4m7!3m6!1s0x2e69c59ea1c79cfb:0x4069cd103ffda6b9!8m2!3d-6.5588423!4d106.7312526!16s%2Fg%2F11h64yxxj2!19sChIJ-5zHoZ7FaS4Ruab9PxDNaUA?authuser=0&hl=id&rclk=1;Kopicentrum;4,4;(464);Kafe;Jl. Babakan Tengah No.5;⋅ Buka pukul 09.00
https://www.google.com/maps/place/RUMAH+KOPI+RANIN/data=!4m7!3m6!1s0x2e69c42e9c93be1b:0xed6315457426851d!8m2!3d-6.5510705!4d106.7323557!16s%2Fg%2F11b76mcg98!19sChIJG76TnC7EaS4RHYUmdEUVY-0?authuser=0&hl=id&rclk=1;RUMAH KOPI RANIN;4,6;(3.095);Kedai Kopi;Jl. Alternatif IPB Desa;⋅ Buka pukul 10.00
https://www.google.com/maps/place/Alam+Memanggil/data=!4m7!3m6!1s0x2e69c5660d092a0b:0x32a8a42e8ee11237!8m2!3d-6.5519177!4d106.7336052!16s%2Fg%2F11s230cgsb!19sChIJCyoJDWbFaS4RNxLhji6kqDI?authuser=0&hl=id&rclk=1;Alam Memanggil;4,1;(298);Kafe;Jl. Alternatif IPB;⋅ Buka pukul 08.00
https://www.google.com/maps/place/Dakara+Coffee+-+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e69c507e76d4cdf:0xf7f044b4e1475698!8m2!3d-6.5698609!4d106.7355194!16s%2Fg%2F11fqz8gjm3!19sChIJ30xt5wfFaS4RmFZH4bRE8Pc?authuser=0&hl=id&rclk=1;Dakara Coffee - Cafe & Resto;4,5;(593);Kafe;Jl. Lingkar Baru laladon Dramaga IPB Bogor No. 9;⋅ Buka pukul 07.00
https://www.google.com/maps/place/Sigma+Cafe/data=!4m7!3m6!1s0x2e69c5e47ac376e3:0x9a4a8c80c062ebe4!8m2!3d-6.5597942!4d106.7348912!16s%2Fg%2F11tmv35ljy!19sChIJ43bDeuTFaS4R5OtiwICMSpo?authuser=0&hl=id&rclk=1;Sigma Cafe;4,8;(83);Kedai Kopi;Jl. Babakan Tengah No.17;⋅ Buka pukul 14.00
https://www.google.com/maps/place/Cafe+Warkop+24+Dramaga/data=!4m7!3m6!1s0x2e69c5c345749161:0x42a93164cffe8f5c!8m2!3d-6.5599138!4d106.7317318!16s%2Fg%2F11q4l_z_6y!19sChIJYZF0RcPFaS4RXI_-z2QxqUI?authuser=0&hl=id&rclk=1;Cafe Warkop 24 Dramaga;4,0;(4);Kafe;Jl. Babakan Raya No.159D;
https://www.google.com/maps/place/Warkop+Hs+2/data=!4m7!3m6!1s0x2e69c5d1e67933df:0x5cdaf849c137f777!8m2!3d-6.5590183!4d106.7347661!16s%2Fg%2F11fk8fgfxq!19sChIJ3zN55tHFaS4Rd_c3wUn42lw?authuser=0&hl=id&rclk=1;Warkop Hs 2;4,4;(147);Kafe;Jl. Babakan Tengah Kab Bogor No.127, RT.02/RW.08;
https://www.google.com/maps/place/Boothcin+Coffee+Dramaga/data=!4m7!3m6!1s0x2e69c5b63a98b73b:0xbde9428ed7a36dcb!8m2!3d-6.5587661!4d106.7341032!16s%2Fg%2F11tx_rtvjy!19sChIJO7eYOrbFaS4Ry22j145C6b0?authuser=0&hl=id&rclk=1;Boothcin Coffee Dramaga;4,2;(14);Kedai Kopi;Jl. Babakan Tengah No.105;⋅ Buka pukul 08.00
