url;name;ratings;people;kategori;alamat;jam-layanan;foto;contact
https://www.google.com/maps/place/OPTIK+SEHATI+BARU+DRAMAGA/data=!4m7!3m6!1s0x2e69c54920d56f2b:0xa44e91e74104bc9c!8m2!3d-6.5634644!4d106.7331674!16s%2Fg%2F11rgrs283n!19sChIJK2_VIEnFaS4RnLwEQeeRTqQ?authuser=0&hl=id&rclk=1;OPTIK SEHATI BARU DRAMAGA;2,0;(2);Toko Optik;Jl. Raya Dramaga No.37;Buka 24 jam;https://lh5.googleusercontent.com/p/AF1QipOUs6-oDYGJMBJxG2F3WSxuXxjRbVSAyBgpoIUr=w122-h92-k-no;
https://www.google.com/maps/place/Optik+Siloam/data=!4m7!3m6!1s0x2e69c58c758c0687:0x20a01be8ced2e4c2!8m2!3d-6.5922107!4d106.8048156!16s%2Fg%2F11fjx7mldv!19sChIJhwaMdYzFaS4RwuTSzugboCA?authuser=0&hl=id&rclk=1;Optik Siloam;4,4;(5);Toko Optik;Botani square, Jl. Raya Pajajaran, RT.03/RW.01;Buka 24 jam;https://lh5.googleusercontent.com/p/AF1QipMSgNubemI-ZhxUmqZoz_mZ8s0kBO2pr9xBS7yg=w163-h92-k-no;(0251) 8400826
https://www.google.com/maps/place/Optik+Diana/data=!4m7!3m6!1s0x2e69c5b1682b6197:0x6b1364f84ad958f4!8m2!3d-6.593176!4d106.7867825!16s%2Fg%2F11b6dp_yvz!19sChIJl2EraLHFaS4R9FjZSvhkE2s?authuser=0&hl=id&rclk=1;Optik Diana;5,0;(7);Toko Optik;Gd Pusat Grosir Bogor, Blok DSS, Jalan Perintis Kemerdekaan No.10, Kebon Kelapa, Bogor Tengah, RT.05/RW.03;Buka;https://lh5.googleusercontent.com/p/AF1QipMEsk7i_rAfo8t_0141lajOjzjLXHMRS0v2Gq2B=w122-h92-k-no;0812-8334-4944
https://www.google.com/maps/place/CV.+Bogor+Optikal/data=!4m7!3m6!1s0x2e69c5b595ece2d3:0xb348f4f39516e83f!8m2!3d-6.5912194!4d106.7928411!16s%2Fg%2F11h18dgj6!19sChIJ0-LslbXFaS4RP-gWlfP0SLM?authuser=0&hl=id&rclk=1;CV. Bogor Optikal;4,9;(8);Toko Optik;Jl. Dewi Sartika No.44, RT.04/RW.06;Buka;https://lh5.googleusercontent.com/p/AF1QipOGZ3f1Q-t3ba-tzkz6ypJnKAVLkQ5XjqpAEVpj=w163-h92-k-no;(0251) 8324177
https://www.google.com/maps/place/Optik+Sehati/data=!4m7!3m6!1s0x2e69c5ecc7646aff:0xd182880bef1ade16!8m2!3d-6.5928159!4d106.79216!16s%2Fg%2F11pr23cyw8!19sChIJ_2pkx-zFaS4RFt4a7wuIgtE?authuser=0&hl=id&rclk=1;Optik Sehati;;;Toko Optik;CQ4R+VVF, RT.04/RW.06;Buka;https://lh5.googleusercontent.com/p/AF1QipMQBQG3MSbjx0cEACB7nnsRt8Brg7AGHutSos42=w80-h142-k-no;
https://www.google.com/maps/place/Optik+Union/data=!4m7!3m6!1s0x2e69c506cccc2d5f:0x85bff1053e5df7c5!8m2!3d-6.5739107!4d106.7605299!16s%2Fg%2F11pcrnlrbt!19sChIJXy3MzAbFaS4RxfddPgXxv4U?authuser=0&hl=id&rclk=1;Optik Union;5,0;(4);Toko Optik;Jl. Sindang Barang Pilar 1 No.104, RT.03/RW.06;;https://lh5.googleusercontent.com/p/AF1QipMx2epO4G2jtfWWXHPwvVQ1DKJ-V1xsOdHTGWtK=w80-h173-k-no;
https://www.google.com/maps/place/Optik+Sejati/data=!4m7!3m6!1s0x2e69c49a2334001f:0xb0651b077159324e!8m2!3d-6.556316!4d106.7536238!16s%2Fg%2F11t28d4p2n!19sChIJHwA0I5rEaS4RTjJZcQcbZbA?authuser=0&hl=id&rclk=1;Optik Sejati;5,0;(1);Toko Optik;Jl. Sbjcifor No.14, RT.01/RW.04;;https://lh5.googleusercontent.com/p/AF1QipM-39efbRrUf_LzYN78VcfyX59nStJAZPNJF61V=w199-h92-k-no;
https://www.google.com/maps/place/Toko+Kacamata+Grand+Optik/data=!4m7!3m6!1s0x2e69c5b5a5474d7d:0x8af22e059765d164!8m2!3d-6.5904974!4d106.7921177!16s%2Fg%2F11c2l0c1g2!19sChIJfU1HpbXFaS4RZNFllwUu8oo?authuser=0&hl=id&rclk=1;Toko Kacamata Grand Optik;5,0;(5);Toko Optik;Dewi Sartika Plaza Ground Floor Blok A No.21, RT.05/RW.06;;https://lh6.googleusercontent.com/XD15CjSGaMsPM3h-Zdz1JtVsyjsjES2167TFt-O63R8uC_-vkZpC7of8sG8tYHhv=w163-h92-k-no;0858-8833-3405
https://www.google.com/maps/place/Optik+Kayumanis+-+Kacamata+Bogor/data=!4m7!3m6!1s0x2e69c354c994cf9f:0x17ac878d24bdc21b!8m2!3d-6.5246126!4d106.7696559!16s%2Fg%2F11sx31cxtk!19sChIJn8-UyVTDaS4RG8K9JI2HrBc?authuser=0&hl=id&rclk=1;Optik Kayumanis - Kacamata Bogor;5,0;(3);Toko Optik;Perum. Bukit, Jl. Kenanga Raya No.8, RT.03/RW.12;;https://lh5.googleusercontent.com/p/AF1QipMa9K3xRKp_CyIjfV0UnoGyfKK7ze_s_04e8otZ=w92-h92-k-no;0817-160-196
https://www.google.com/maps/place/Optik+Raya/data=!4m7!3m6!1s0x2e69c4b1c55c2d07:0x1a661750110c2cac!8m2!3d-6.5592503!4d106.7314721!16s%2Fg%2F11bc7slc3b!19sChIJBy1cxbHEaS4RrCwMEVAXZho?authuser=0&hl=id&rclk=1;Optik Raya;4,0;(4);Toko Optik;Jl. Babakan Raya No.110;Tutup;https://lh6.googleusercontent.com/ZjwDxGrCb9GVXeUrQ_mrFaaLcPR_KBl0GwaWA3H3pMeG5jnwI4OF_nkfaRNR9kQf=w163-h92-k-no;0822-1013-8131
