url;nama;ratings;reviewers;kategori;alamat;jam-tutup
https://www.google.com/maps/place/Gurih+7+Bogor+-+Saung+Lesehan+%26+Kuliner+Sunda/data=!4m7!3m6!1s0x2e69c416cbdea47b:0x950e04927f76531f!8m2!3d-6.5739351!4d106.8075456!16s%2Fg%2F1xflmr2v!19sChIJe6TeyxbEaS4RH1N2f5IEDpU?authuser=0&hl=id&rclk=1;Gurih 7 Bogor - Saung Lesehan & Kuliner Sunda;4,7;(30.112);Sunda;Jl. Raya Pajajaran No.102;⋅ Tutup pukul 21.30
https://www.google.com/maps/place/Lemongrass+Resto/data=!4m7!3m6!1s0x2e69c422ffc0b16b:0xb1af50602fdb1bf6!8m2!3d-6.5766646!4d106.8080484!16s%2Fg%2F11fz77l8t0!19sChIJa7HA_yLEaS4R9hvbL2BQr7E?authuser=0&hl=id&rclk=1;Lemongrass Resto;4,4;(9.326);Masakan Asia;Jl. Raya Pajajaran No.21, RT.03/RW.03;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/D%27Sawah+Resort,+Resto+%26+Rekreasi/data=!4m7!3m6!1s0x2e69c53197df9f8f:0x659bae776b2c8cdd!8m2!3d-6.5495018!4d106.7381167!16s%2Fg%2F11m49y1qyz!19sChIJj5_flzHFaS4R3Ywsa3eum2U?authuser=0&hl=id&rclk=1;D'Sawah Resort, Resto & Rekreasi;4,3;(2.383);Sesuai untuk keluarga;BOGOR, Jl. Cilubang Mekar No.88, RT.003/RW.008;⋅ Tutup pukul 20.30
https://www.google.com/maps/place/Rumah+Makan+Cak+Joyo/data=!4m7!3m6!1s0x2e69c4baa0d84891:0x26720381472143ea!8m2!3d-6.5594016!4d106.7353499!16s%2Fg%2F11c6ld0yp2!19sChIJkUjYoLrEaS4R6kMhR4EDciY?authuser=0&hl=id&rclk=1;Rumah Makan Cak Joyo;4,7;(186);Ayam;Jl. Babakan Tengah No.1, RT.01/RW.09;⋅ Tutup pukul 22.30
https://www.google.com/maps/place/Gumati+Resto+Khas+Sunda/data=!4m7!3m6!1s0x2e69c5b8951c563f:0xe5317a58b65a8ec5!8m2!3d-6.6012747!4d106.7924957!16s%2Fg%2F11c5svq8mp!19sChIJP1YclbjFaS4RxY5atlh6MeU?authuser=0&hl=id&rclk=1;Gumati Resto Khas Sunda;4,5;(7.220);Restoran;Jl. Paledang No.26 & 28, RT.05/RW.07;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/Fat+Bubble/data=!4m7!3m6!1s0x2e69c5cdde7ccf6d:0x92e01c332b541117!8m2!3d-6.591845!4d106.804462!16s%2Fg%2F11c44qhdqg!19sChIJbc983s3FaS4RFxFUKzMc4JI?authuser=0&hl=id&rclk=1;Fat Bubble;4,5;(4.811);Hidangan Penutup;Jl. Raya Pajajaran No.24, RT.01/RW.04;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/Waroeng+Taman/data=!4m7!3m6!1s0x2e69c43476f25ccd:0x57f38a12f7bb208d!8m2!3d-6.5888708!4d106.8012322!16s%2Fg%2F1pzr2w5bm!19sChIJzVzydjTEaS4RjSC79xKK81c?authuser=0&hl=id&rclk=1;Waroeng Taman;4,4;(2.542);Restoran;Pusat Niaga Taman Kencana Jalan Ceremai Ujung Babakan No. 1, RT.01/RW.01;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/Two+Stories/data=!4m7!3m6!1s0x2e69c5e0dbd120ed:0xb53786d0ad760802!8m2!3d-6.6094545!4d106.8128441!16s%2Fg%2F11b7y791r_!19sChIJ7SDR2-DFaS4RAgh2rdCGN7U?authuser=0&hl=id&rclk=1;Two Stories;4,5;(5.019);Restoran;Jl. Pajajaran Indah V No.7, RT.01/RW.11;⋅ Tutup pukul 23.00
https://www.google.com/maps/place/Parahyangan+Warung+Sunda/data=!4m7!3m6!1s0x2e69c5518d765c7f:0x24a39062ed16230a!8m2!3d-6.5665081!4d106.736164!16s%2Fg%2F11s7zr8_bq!19sChIJf1x2jVHFaS4RCiMW7WKQoyQ?authuser=0&hl=id&rclk=1;Parahyangan Warung Sunda;4,3;(924);Restoran;Jl. Raya Dramaga No.16;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/Rumah+Makan+Katineung/data=!4m7!3m6!1s0x2e69c499d2584149:0x4df35c888f8a4c5e!8m2!3d-6.553099!4d106.7466741!16s%2Fg%2F11dx9xc5d5!19sChIJSUFY0pnEaS4RXkyKj4hc800?authuser=0&hl=id&rclk=1;Rumah Makan Katineung;4,4;(319);Sunda;RT.04/RW.04;⋅ Tutup pukul 18.00
