url;nama;ratings;reviewers;kategori;alamat;FQ2IWe src
https://www.google.com/maps/place/Taman+Heulang/data=!4m7!3m6!1s0x2e69c43c4d9f6e9f:0x7494ee2a6fb643fa!8m2!3d-6.5697211!4d106.8022947!16s%2Fg%2F11ckkwkxs6!19sChIJn26fTTzEaS4R-kO2byrulHQ?authuser=0&hl=id&rclk=1;Taman Heulang;4,6;(10.884);Tujuan Wisata;CRJ2+4W7, Jl. Heulang, RT.06/RW.04;
https://www.google.com/maps/place/ECOART+PARK+Sentul+City/data=!4m7!3m6!1s0x2e69c6ebc0f289c5:0xf894747033caad39!8m2!3d-6.5687222!4d106.8457512!16s%2Fg%2F11b6x9_n9z!19sChIJxYnywOvGaS4ROa3KM3B0lPg?authuser=0&hl=id&rclk=1;ECOART PARK Sentul City;4,3;(11.131);Tujuan Wisata;CRJW+G86;
https://www.google.com/maps/place/Marcopolo+Water+Adventure+Bogor/data=!4m7!3m6!1s0x2e69c384e7c466b3:0x1d98d777db19c08f!8m2!3d-6.5475252!4d106.7826826!16s%2Fg%2F11b86vqg83!19sChIJs2bE54TDaS4Rj8AZ23fXmB0?authuser=0&hl=id&rclk=1;Marcopolo Water Adventure Bogor;4,5;(6.638);Tujuan Wisata;Jl. Bukit Cimanggu City Raya Jl. Sholeh Iskandar, RT.01/RW.11;
https://www.google.com/maps/place/Taman+Kencana/data=!4m7!3m6!1s0x2e69c5cceda8f1b7:0x7d403349dcdbdc93!8m2!3d-6.5887896!4d106.8018857!16s%2Fg%2F11h0s9s1r!19sChIJt_Go7czFaS4Rk9zb3EkzQH0?authuser=0&hl=id&rclk=1;Taman Kencana;4,5;(9.955);Tujuan Wisata;Taman kencana, Jl. Taman Kencana No.3, RT.03/RW.03;
https://www.google.com/maps/place/Taman+Kaulinan/data=!4m7!3m6!1s0x2e69c5cc0032dd3f:0xc0cf32c67d70a8ea!8m2!3d-6.5921584!4d106.8003088!16s%2Fg%2F11c32m2qvh!19sChIJP90yAMzFaS4R6qhwfcYyz8A?authuser=0&hl=id&rclk=1;Taman Kaulinan;4,6;(983);Tujuan Wisata;Jl. Sempur No.1, RT.01/RW.01;
https://www.google.com/maps/place/Taman+Meksiko/data=!4m7!3m6!1s0x2e69c5c400d57233:0x1355d0edbbce6616!8m2!3d-6.6022434!4d106.8003444!16s%2Fg%2F1pzt8hvhy!19sChIJM3LVAMTFaS4RFmbOu-3QVRM?authuser=0&hl=id&rclk=1;Taman Meksiko;4,6;(1.869);Tujuan Wisata;Jl. Otto Iskandardinata No.13, RT.04/RW.02;
https://www.google.com/maps/place/Lawang+Suryakencana/data=!4m7!3m6!1s0x2e69c5c148c983e1:0x7756376207fe4a0f!8m2!3d-6.6032729!4d106.7989098!16s%2Fg%2F11ggsg9sxh!19sChIJ4YPJSMHFaS4RD0r-B2I3Vnc?authuser=0&hl=id&rclk=1;Lawang Suryakencana;4,6;(865);Tujuan Wisata;9QWX+MHV, Jl. Suryakencana, RT.01/RW.01;
https://www.google.com/maps/place/Air+Terjun+Curug+Nangka/data=!4m7!3m6!1s0x2e69cfd5ab533c53:0xf6427641a4bf1129!8m2!3d-6.6690656!4d106.7264075!16s%2Fg%2F122cz8vh!19sChIJUzxTq9XPaS4RKRG_pEF2QvY?authuser=0&hl=id&rclk=1;Air Terjun Curug Nangka;4,3;(6.907);Tujuan Wisata;8PMG+RX6;
https://www.google.com/maps/place/The+Jungle+Waterpark+Bogor/data=!4m7!3m6!1s0x2e69cf5deba619f3:0x485a13f031e8b904!8m2!3d-6.6344794!4d106.7949215!16s%2Fg%2F1ptxr7qkm!19sChIJ8xmm613PaS4RBLnoMfATWkg?authuser=0&hl=id&rclk=1;The Jungle Waterpark Bogor;4,5;(24.621);Tujuan Wisata;Perumahan, Jl. Bogor Nirwana Residence Jalan Bogor Nirwana Boulevard, RT.05/RW.12;
https://www.google.com/maps/place/Ekowisata+Situ+Gede/data=!4m7!3m6!1s0x2e69c59d88a69ed5:0x19760dcbc17a1dec!8m2!3d-6.5516967!4d106.7457024!16s%2Fg%2F11fmz8rv7w!19sChIJ1Z6miJ3FaS4R7B16wcsNdhk?authuser=0&hl=id&rclk=1;Ekowisata Situ Gede;4,5;(115);Tujuan Wisata;Jl. Cilubang Malang No.37, RT.03/RW.04;
https://www.google.com/maps/place/Akuatik+Park/data=!4m7!3m6!1s0x2e69c566a828db55:0x2ee2949c0fb73222!8m2!3d-6.6007929!4d106.800734!16s%2Fg%2F11gjtxml27!19sChIJVdsoqGbFaS4RIjK3D5yU4i4?authuser=0&hl=id&rclk=1;Akuatik Park;4,6;(73);Tujuan Wisata;9RX2+M7Q, RT.04/RW.02;
https://www.google.com/maps/place/Kebun+Raya+Bogor/data=!4m7!3m6!1s0x2e69c5c412a67abb:0x75f23c6b45a37ee5!8m2!3d-6.5976289!4d106.7995698!16zL20vMDk1cmQ4!19sChIJu3qmEsTFaS4R5X6jRWs88nU?authuser=0&hl=id&rclk=1;Kebun Raya Bogor;4,7;(95.430);Tujuan Wisata;Jl. Ir. H. Juanda No.13;
https://www.google.com/maps/place/THE+ILLUSION+BOGOR/data=!4m7!3m6!1s0x2e69cf5ded8025a5:0x95c950c85f89ca52!8m2!3d-6.634744!4d106.7944426!16s%2Fg%2F11fy934p06!19sChIJpSWA7V3PaS4RUsqJX8hQyZU?authuser=0&hl=id&rclk=1;THE ILLUSION BOGOR;4,4;(407);Tujuan Wisata;The Jungle Mall, Jl. Tirta Nirwana Raya No.119 Lantai GF, RT.05/RW.12;
